City,CityID,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Bethel,5282297,US,41.37,-73.41,39.99,47,1,13.87
Verkhovazhye,474354,RU,60.75,42.05,4.75,97,84,4.05
Raudeberg,3146487,NO,61.99,5.14,37.99,93,75,9.17
Avarua,4035715,CK,-21.21,-159.78,78.8,94,4,11.25
Omboue,2396853,GA,-1.57,9.26,78.98,86,86,4.03
Hermanus,3366880,ZA,-34.42,19.23,70.0,75,47,3.0
Dikson,1507390,RU,73.51,80.55,-25.87,96,61,8.14
Kaseda,1859964,JP,31.42,130.32,42.01,93,2,5.99
Hong Kong,1819729,HK,22.29,114.16,57.2,37,0,8.05
Asau,686090,RO,46.43,26.4,35.01,59,19,6.93
Rameshki,502903,RU,57.34,36.05,31.48,95,100,6.78
Waipawa,2206874,NZ,-41.41,175.52,66.0,93,35,12.75
Udachny,2014624,RU,66.42,112.4,-0.4,91,90,2.24
San Patricio,3985168,MX,19.22,-104.7,82.4,74,5,11.41
Marevo,529387,RU,57.31,32.08,32.36,89,100,4.52
Coutances,3022826,FR,49.05,-1.43,48.0,93,44,11.41
Sorong,1626542,ID,-0.88,131.25,75.85,96,33,3.98
Castro,3466704,BR,-24.79,-50.01,84.92,44,47,3.06
Alyangula,2079582,AU,-13.85,136.42,84.2,83,75,12.75
Severo-Kuril'sk,2121385,RU,50.68,156.12,18.39,90,93,5.93
Chokurdakh,2126123,RU,70.63,147.92,-24.27,82,94,6.69
Malakal,370737,SS,9.53,31.66,77.36,14,2,4.88
Saint-Philippe,935215,RE,-21.36,55.77,75.2,69,4,3.36
Puerto Baquerizo Moreno,3652758,EC,-0.9,-89.6,84.2,74,75,10.29
Broken Hill,2173911,AU,-31.95,141.43,84.2,11,45,16.11
Tuatapere,2180815,NZ,-46.13,167.68,51.01,75,1,3.0
Deputatsky,2028164,RU,69.3,139.9,-10.01,92,100,2.68
El Alto,3697441,PE,-4.27,-81.21,62.6,100,40,12.75
Evensk,2125693,RU,61.95,159.23,-3.69,85,100,11.65
Jamestown,5122534,US,42.1,-79.24,32.0,68,90,4.5
Pangnirtung,6096551,CA,66.15,-65.71,-20.2,68,75,3.36
Yakeshi,2033536,CN,49.28,120.73,-9.29,100,65,1.1
Oum Hadjer,2426370,TD,13.3,19.7,75.25,7,0,9.6
Ostrovnoy,556268,RU,68.05,39.51,3.61,96,45,5.77
Bredasdorp,1015776,ZA,-34.53,20.04,64.99,63,61,9.44
Hidalgo,3527115,MX,20.5,-99.0,56.28,73,62,8.41
Matagami,6067747,CA,49.75,-77.63,6.8,92,40,3.36
Vanimo,2084442,PG,-2.67,141.3,82.9,81,99,16.44
Cape Town,3369157,ZA,-33.93,18.42,68.0,68,20,23.04
Zhirnovsk,462984,RU,50.98,44.77,29.97,95,100,18.43
Cidreira,3466165,BR,-30.18,-50.21,76.01,83,100,15.75
Cordoba,3860259,AR,-31.41,-64.18,75.0,64,40,12.75
Caravelas,3466980,BR,-17.71,-39.25,80.96,79,37,11.43
Provideniya,4031574,RU,64.38,-173.3,-7.37,51,40,7.58
Leningradskiy,2123814,RU,69.38,178.42,-12.62,94,100,14.07
Atuona,4020109,PF,-9.8,-139.03,79.92,80,1,17.18
Arona,2521582,ES,28.1,-16.68,73.4,40,100,5.82
Bathsheba,3374083,BB,13.22,-59.52,86.0,66,40,14.99
Araceli,1730272,PH,10.55,119.99,78.1,80,83,11.23
Vaini,4032243,TO,-21.2,-175.2,73.4,100,20,2.24
Corinth,259289,GR,37.94,22.96,60.01,71,40,8.41
Omsukchan,2122493,RU,62.53,155.8,-28.57,100,59,3.33
General Nakar,1713024,PH,14.76,121.64,69.94,91,63,4.54
San Andres,3670218,CO,12.58,-81.7,84.2,66,20,8.05
Aklavik,5882953,CA,68.22,-135.01,-23.8,74,90,10.29
Wanganui,2179670,NZ,-39.93,175.05,68.0,71,73,8.99
Kampong Thom,1831125,KH,12.71,104.89,74.8,65,4,1.39
Grindavik,3416888,IS,63.84,-22.43,30.2,80,0,5.82
Black River,3491355,JM,18.03,-77.85,82.4,69,20,10.29
Dingle,1714733,PH,11.0,122.67,71.53,87,88,4.27
Buraidah,107304,SA,26.33,43.98,55.4,47,0,5.82
Saint George,5546220,US,37.1,-113.58,46.99,52,1,4.7
Ossora,2122389,RU,59.24,163.07,16.36,78,100,3.65
Villazon,3901501,BO,-22.09,-65.59,63.37,29,44,3.6
Seddon,7281807,AU,-37.81,144.89,64.0,77,0,4.7
Cameta,3403697,BR,-2.24,-49.5,88.66,63,62,4.72
Nikolskoye,546105,RU,59.7,30.79,30.2,92,75,11.18
Magaria,2441482,NE,13.0,8.91,74.19,8,81,9.66
Luderitz,3355672,NA,-26.65,15.16,64.4,82,15,13.87
Kirakira,2178753,SB,-10.45,161.92,77.45,85,92,5.21
Narsaq,3421719,GL,60.92,-46.05,12.2,61,20,3.04
Sitka,5557293,US,57.05,-135.33,42.8,81,90,21.92
San Cristobal,3628473,VE,7.77,-72.22,86.0,58,40,13.87
Palkino,513051,RU,57.54,28.01,35.6,93,100,8.95
Salalah,286621,OM,17.02,54.09,69.8,49,17,4.7
Samarai,2132606,PG,-10.62,150.67,76.84,86,100,4.47
Hamilton,4513583,US,39.18,-84.53,35.6,64,90,6.93
Abonnema,2324433,NG,4.71,6.79,95.0,30,5,2.24
Yantal,2055868,RU,56.85,105.25,12.11,96,100,3.78
Bambous Virieux,1106677,MU,-20.34,57.76,75.2,83,40,2.24
Puerto Ayora,3652764,EC,-0.74,-90.35,87.8,58,20,17.22
Taybad,1159384,IR,34.74,60.78,39.65,51,67,11.68
Cap Malheureux,934649,MU,-19.98,57.61,75.2,83,40,2.24
Khatanga,2022572,RU,71.97,102.5,-12.98,98,100,5.17
Kaitangata,2208248,NZ,-46.28,169.85,54.0,60,1,1.99
Kahului,5847411,US,20.89,-156.47,73.0,77,20,4.7
Tautira,4033557,PF,-17.73,-149.15,82.4,69,75,5.82
Banda Aceh,1215502,ID,5.56,95.32,71.91,87,100,3.44
Novosokolniki,517921,RU,56.35,30.16,33.78,96,100,7.7
Krasnovishersk,542184,RU,60.41,57.08,-5.08,93,99,4.21
Kampot,1831112,KH,10.62,104.18,75.2,94,20,2.24
Shahrud,135423,IR,36.42,54.98,30.16,61,100,5.39
Salinopolis,3389822,BR,-0.61,-47.36,81.63,81,64,14.85
Haines Junction,5969025,CA,60.75,-137.51,1.29,97,98,4.74
Dano,2361586,BF,11.15,-3.07,89.15,5,33,5.7
Batabano,3567655,CU,22.72,-82.29,82.4,65,40,10.29
Sabha,2212775,LY,27.04,14.43,65.86,25,0,4.47
Codrington,2171099,AU,-38.27,141.97,69.67,56,0,12.71
Vilhena,3924679,BR,-12.74,-60.15,86.0,62,75,14.99
Nanortalik,3421765,GL,60.14,-45.24,22.28,62,0,23.09
Touros,3386213,BR,-5.2,-35.46,87.8,58,20,17.22
Praia da Vitoria,3372760,PT,38.73,-27.07,64.4,82,40,11.14
Mount Gambier,2156643,AU,-37.83,140.77,60.8,63,0,6.93
Kumul,1529484,CN,42.8,93.45,8.6,72,0,1.74
Kununurra,2068110,AU,-15.77,128.73,77.0,83,23,4.7
Maumere,1635815,ID,-8.62,122.21,79.03,85,100,3.29
Bafoulabe,2460755,ML,13.81,-10.83,95.61,2,60,6.98
Mmabatho,975436,ZA,-25.85,25.63,78.8,36,0,2.24
Ilulissat,3423146,GL,69.22,-51.1,5.0,65,75,13.87
Mount Darwin,885800,ZW,-16.77,31.58,66.76,95,10,5.91
Singaparna,1626936,ID,-7.35,108.11,71.2,96,100,3.74
Aranos,3358666,NA,-24.13,19.12,86.72,13,0,8.08
Port Elizabeth,964420,ZA,-33.92,25.57,69.8,83,75,3.36
Esperance,2071860,AU,-33.87,121.9,66.2,88,75,9.17
Liverpool,2644210,GB,53.41,-2.98,48.99,76,75,17.22
Anito,1730622,PH,12.45,125.29,79.7,73,95,4.94
Awjilah,88533,LY,29.11,21.29,60.17,38,0,4.0
Hambantota,1244926,LK,6.12,81.12,77.67,79,13,19.37
Labuhan,8079926,ID,-6.88,112.21,76.68,93,100,6.13
Veraval,1253237,IN,20.9,70.37,58.37,67,0,7.65
Talas,299900,TR,38.69,35.55,37.4,74,75,3.22
Souillac,933995,MU,-20.52,57.52,75.2,83,40,2.24
Inuvik,5983607,CA,68.35,-133.72,-23.8,73,75,2.24
San Jeronimo,3929611,PE,-11.95,-75.28,54.81,56,100,6.8
Mersa Matruh,352733,EG,31.35,27.25,59.0,72,40,5.82
Monrovia,2274895,LR,6.3,-10.8,86.0,74,40,10.29
Beyneu,610298,KZ,45.32,55.2,36.86,76,85,18.99
Chippewa Falls,5248511,US,44.94,-91.39,28.4,62,90,3.74
Mackenzie,6063191,CA,55.3,-123.17,32.0,96,90,8.05
Bonavista,5905393,CA,48.65,-53.11,30.0,88,98,3.0
Verkhoyansk,2013465,RU,67.54,133.38,-16.28,97,95,3.09
Kruisfontein,986717,ZA,-34.0,24.73,64.35,83,87,9.44
Khasan,2039557,RU,42.43,130.64,17.35,75,76,8.55
Moron,3430545,AR,-34.65,-58.62,78.01,88,75,4.7
Crotone,2524881,IT,39.09,17.12,53.6,76,20,10.29
Lompoc,5367788,US,34.64,-120.46,61.0,51,1,12.75
Sfantu Gheorghe,667303,RO,45.87,25.78,33.01,75,45,6.31
Kaeo,2189343,NZ,-35.1,173.78,64.0,100,54,5.12
Dolores,3435038,AR,-36.31,-57.68,79.57,37,92,17.02
Tazovsky,1489853,RU,67.47,78.7,-6.57,96,100,11.18
Boke,2422924,GN,10.94,-14.3,85.68,46,22,11.3
Chapeco,3466296,BR,-27.1,-52.62,84.0,83,75,13.87
Mar del Plata,3430863,AR,-38.0,-57.56,72.0,48,84,18.34
Tsimmerbude,485660,RU,54.67,20.13,39.2,86,75,11.18
Mountain Home,5601615,US,43.13,-115.69,39.99,93,40,10.29
Padang,1633419,ID,-0.95,100.35,66.4,65,100,3.91
Shimoda,1852357,JP,34.67,138.95,51.01,81,0,1.01
Goiatuba,3462371,BR,-18.01,-49.35,81.19,76,40,9.08
Gaevle,2712414,SE,60.67,17.14,37.99,97,100,1.01
Flin Flon,5954718,CA,54.77,-101.86,15.8,92,90,5.82
Sioux Lookout,6148373,CA,50.1,-91.92,15.8,78,90,4.7
Asosa,343292,ET,10.07,34.53,71.58,27,40,3.53
Ilebo,215976,CD,-4.32,20.58,77.4,70,46,2.26
Russell,4047434,US,32.35,-85.2,52.0,57,75,4.7
Barcelos,2742416,PT,41.54,-8.62,59.0,100,90,14.99
Geraldton,2070998,AU,-28.77,114.6,68.0,88,90,16.11
Rorvik,3141310,NO,64.86,11.24,32.0,68,100,21.92
Fortuna,5563839,US,40.6,-124.16,50.0,81,75,5.82
Phuket,1151253,TH,8.0,98.25,77.0,73,20,4.7
Vestmannaeyjar,3412093,IS,63.44,-20.27,32.68,67,0,7.29
Kaili,1638368,ID,-3.46,120.21,63.21,93,100,0.56
Paita,3694112,PE,-5.09,-81.11,62.6,100,40,12.75
Coahuayana Viejo,4013679,MX,18.73,-103.68,71.6,60,5,9.17
Kilindoni,157429,TZ,-7.91,39.67,82.89,80,65,13.18
Ilhabela,3461425,BR,-23.78,-45.36,79.56,85,0,15.9
Derby,2651347,GB,52.92,-1.48,48.0,70,75,16.11
Yahotyn,688587,UA,50.28,31.76,32.0,97,90,6.71
Port Augusta,2063056,AU,-32.5,137.77,77.0,39,0,2.24
Podebrady,3068107,CZ,50.14,15.12,39.2,64,100,13.87
Northam,2641434,GB,51.03,-4.22,48.0,81,20,10.29
Mitsamiouli,921786,KM,-11.38,43.28,82.4,78,20,2.24
Mahanoro,1062553,MG,-19.9,48.8,81.07,74,33,12.53
Voi,178522,KE,-3.39,38.56,72.93,88,62,5.3
Northport,4080555,US,33.23,-87.58,53.6,54,90,5.82
Acapulco de Juarez,3533462,MX,16.86,-99.89,86.0,45,5,5.82
Clyde River,5924351,CA,70.47,-68.59,-25.6,74,75,4.99
Aykhal,2027296,RU,66.0,111.5,-0.4,91,90,2.24
Carbonia,2525362,IT,39.17,8.52,57.0,71,40,6.93
Pitanga,3453478,BR,-24.76,-51.76,77.13,76,68,4.99
San Quintin,3984997,MX,30.48,-115.95,59.67,73,1,10.0
Nemuro,2128975,JP,43.32,145.57,32.32,97,100,29.82
Sigli,1213821,ID,5.38,95.96,80.82,69,99,5.32
Rawson,3839307,AR,-43.3,-65.1,59.36,64,0,17.16
Pisco,3932145,PE,-13.7,-76.22,75.99,30,75,11.41
Kiruna,605155,SE,67.86,20.23,8.6,92,100,2.21
Roebourne,2062276,AU,-20.78,117.13,93.4,19,16,10.29
Biltine,244878,TD,14.53,20.92,71.69,7,8,12.1
Amapa,3407762,BR,1.0,-52.0,83.64,82,37,5.57
Oodweyne,53372,SO,9.41,45.06,68.5,50,85,6.53
Norman Wells,6089245,CA,65.28,-126.83,-20.2,75,90,1.79
Issaquah,5798487,US,47.53,-122.03,48.2,93,90,3.36
Karlskrona,2701713,SE,56.16,15.59,39.2,100,75,6.93
Saskylakh,2017155,RU,71.92,114.08,-13.74,98,100,2.53
Semey,1519422,KZ,50.41,80.23,-8.79,89,8,3.53
Srednekolymsk,2121025,RU,67.45,153.68,-27.62,83,6,5.68
Gigmoto,1712961,PH,13.78,124.39,79.75,71,48,8.97
Marzuq,72181,YE,14.4,46.47,62.4,57,21,2.62
Mokrousovo,1498511,RU,55.81,66.77,-11.79,94,21,8.48
Panzhihua,6929460,CN,26.59,101.71,41.47,70,87,1.86
Upernavik,3418910,GL,72.79,-56.15,-12.64,92,100,6.89
Vardo,777019,NO,70.37,31.11,23.0,78,81,16.11
Calabar,2346229,NG,4.95,8.32,84.16,61,0,7.05
Kharan,1174062,PK,28.58,65.42,48.43,41,8,6.73
Aberdeen,2657832,GB,57.14,-2.1,41.0,80,20,6.93
Richards Bay,962367,ZA,-28.78,32.04,78.4,82,40,8.16
West Fargo,5062458,US,46.88,-96.9,19.0,92,90,9.17
Camacha,2270385,PT,33.08,-16.33,64.4,72,20,9.17
Sao Filipe,3374210,CV,14.9,-24.5,71.98,72,8,15.97
Albertville,4829791,US,34.27,-86.21,52.0,57,90,7.05
Sibolga,1213855,ID,1.74,98.78,69.55,95,100,3.4
Wana,1162634,PK,32.3,69.57,27.46,73,29,0.56
Faya,110690,SA,18.39,42.45,55.4,87,36,4.7
Prainha,3391287,BR,-1.8,-53.48,89.85,50,100,6.13
Halifax,6324729,CA,44.65,-63.57,27.0,63,75,17.22
Sergiyevsk,486626,RU,53.94,51.16,12.29,90,97,12.44
Podor,2245170,MR,16.65,-14.96,100.4,15,0,2.24
General Roca,3855065,AR,-39.03,-67.58,75.2,16,0,10.29
Nador,2541479,MA,35.17,-2.93,60.8,63,89,3.36
Golden,5423294,US,39.76,-105.22,42.8,41,1,4.7
Petropavlovka,2017979,RU,50.61,105.32,-0.24,85,4,3.09
Te Anau,2181625,NZ,-45.42,167.72,46.85,76,22,8.34
Bheramara,1185262,BD,24.02,88.99,66.38,76,13,6.58
Karaton,1630058,ID,-6.34,106.1,75.99,88,75,9.17
Lavrentiya,4031637,RU,65.58,-171.0,-11.4,66,0,9.69
Saldanha,3361934,ZA,-33.01,17.94,71.6,56,47,16.11
Kastamonu,743881,TR,41.5,33.67,30.54,89,86,4.41
Jamui,1269291,IN,24.92,86.22,67.77,62,81,3.15
Barzas,1510817,RU,55.72,86.32,-2.2,77,40,13.42
Dali,1814093,CN,25.7,100.18,36.91,82,35,1.83
Atambua,1651103,ID,-9.11,124.89,76.82,90,79,1.14
Isfahan,418863,IR,32.66,51.68,35.6,34,75,4.7
Safi,2537881,MA,32.3,-9.24,57.52,43,100,4.0
Natal,3394023,BR,-5.79,-35.21,87.8,62,20,18.34
Chui,3443061,UY,-33.7,-53.46,85.3,47,96,2.8
Iqaluit,5983720,CA,63.75,-68.51,-13.0,69,90,2.24
Aneho,2367990,TG,6.23,1.6,84.2,79,0,5.82
Ribeira Grande,3372707,PT,38.52,-28.7,62.6,93,75,11.41
Galveston,4692856,US,29.37,-94.97,55.4,71,90,19.46
Rodrigues Alves,3665210,BR,-7.74,-72.65,78.8,88,90,11.41
Sabang,1214026,ID,5.89,95.32,80.65,69,100,10.04
Naze,1855540,JP,28.37,129.48,59.0,58,75,21.92
Nivala,644509,FI,63.92,25.0,24.01,92,100,5.99
Puerto Rico,3429732,AR,-26.8,-55.02,93.24,37,32,3.83
Flinders,6255012,AU,-34.58,150.86,66.99,100,0,6.26
Grand Gaube,934479,MU,-20.01,57.66,75.2,83,40,2.24
Port Moresby,2088122,PG,-9.44,147.18,77.0,94,20,3.36
Meulaboh,1214488,ID,4.14,96.13,80.38,72,92,3.38
Biak,1637001,ID,-0.91,122.88,82.72,76,82,11.03
Hobyo,57000,SO,5.35,48.53,75.15,71,99,20.4
Cayenne,3382160,GF,4.93,-52.33,86.0,66,75,13.87
Zhezkazgan,1516589,KZ,47.8,67.71,-4.0,83,75,11.18
Leshukonskoye,535839,RU,64.9,45.76,-3.57,98,90,3.85
Bacolod City,1729564,PH,10.67,122.95,73.06,84,56,3.51
Alofi,4036284,NU,-19.06,-169.92,77.0,100,66,1.12
Kupino,1501365,RU,54.37,77.3,-17.75,98,0,7.14
Booue,2401495,GA,-0.09,11.94,76.21,88,90,2.42
Airai,1651810,TL,-8.93,125.41,68.59,81,98,3.8
Biograd na Moru,3204121,HR,43.94,15.45,50.0,93,4,2.24
Amuntai,1651461,ID,-2.42,115.25,75.33,94,96,1.19
Qaqortoq,3420846,GL,60.72,-46.03,12.2,61,20,15.57
Strezhevoy,1490796,RU,60.73,77.59,-18.4,82,98,6.71
Pandan,1695546,PH,14.05,124.17,79.45,71,33,9.66
Dukat,2125906,RU,62.55,155.55,-27.94,99,58,3.89
Jalu,86049,LY,29.03,21.55,60.17,38,0,4.0
Griffith,4920986,US,41.53,-87.42,33.8,59,90,3.24
Nkhotakota,924705,MW,-12.93,34.3,79.0,73,86,5.41
Mehamn,778707,NO,71.04,27.85,19.4,72,70,6.93
Mogadishu,53654,SO,2.04,45.34,79.56,78,99,26.57
Shiraz,115019,IR,29.6,52.54,37.4,69,0,4.32
Hofn,2630299,IS,64.25,-15.21,28.4,74,33,6.93
Vao,2137773,NC,-22.67,167.48,76.1,70,2,10.85
Srivardhan,1255619,IN,18.03,73.02,65.37,67,0,8.12
Vostok,2013279,RU,46.49,135.88,-1.21,99,99,1.97
Bulgan,2032201,MN,48.81,103.53,7.12,60,17,3.24
Gornopravdinsk,1506268,RU,60.05,69.9,-19.52,95,0,4.29
Vuktyl,470905,RU,63.86,57.31,-15.03,97,92,4.07
Palauig,1696188,PH,15.44,119.9,69.26,67,30,7.49
Chicama,3698359,PE,-7.84,-79.15,75.2,78,20,11.41
Juneau,5554072,US,58.3,-134.42,41.0,86,90,29.97
Cururupu,3401148,BR,-1.83,-44.87,84.78,74,71,6.08
Inverness,2646088,GB,57.48,-4.22,39.2,100,75,5.82
Bandarbeyla,64814,SO,9.49,50.81,74.17,69,100,19.53
Garden City,4993659,US,42.33,-83.33,32.0,68,90,4.7
Klaksvik,2618795,FO,62.23,-6.59,33.8,71,13,1.12
Nouadhibou,2377457,MR,20.93,-17.03,82.4,20,100,2.24
Takoradze,2294915,GH,4.88,-1.76,84.25,66,3,8.21
Phangnga,1151464,TH,8.45,98.53,77.0,73,20,4.7
Pasni,1168312,PK,25.26,63.47,61.86,23,0,14.88
Dapaong,2367164,TG,10.86,0.2,85.42,4,72,8.1
Buriti Alegre,3468745,BR,-18.14,-49.04,76.5,82,95,5.08
Boali,2388720,CF,4.8,18.13,91.4,24,18,2.24
Azadshahr,14256,IR,34.79,48.57,31.73,60,100,5.61
Bilma,2446796,NE,18.69,12.92,71.62,7,80,7.92
Wahpeton,5062355,US,46.27,-96.61,19.0,85,53,10.29
Byarozawka,630166,BY,53.72,25.5,33.06,87,100,3.69
San Onofre,3669218,CO,9.74,-75.53,86.92,61,10,12.55
Kenora,5991056,CA,49.82,-94.43,15.8,85,90,5.82
Lilongwe,927967,MW,-13.97,33.79,65.91,96,99,1.81
Okhotsk,2122605,RU,59.38,143.3,-16.42,64,0,8.57
Gamba,2400547,GA,-2.65,10.0,80.47,84,85,5.75
Mizan Teferi,330534,ET,6.98,35.58,69.01,60,92,2.77
General Pico,3855075,AR,-35.66,-63.76,88.75,18,97,13.67
Goderich,5962442,CA,43.75,-81.72,32.0,78,6,4.41
Syumsi,485064,RU,57.11,51.61,15.12,94,100,7.81
Micheweni,153955,TZ,-4.97,39.83,81.97,84,2,13.02
Ketchikan,5554428,US,55.34,-131.65,42.8,81,90,17.22
Batemans Bay,2176639,AU,-35.72,150.18,63.0,94,0,1.01
Manokwari,1636308,ID,-0.87,134.08,73.94,82,18,5.08
Urengoy,1488414,RU,65.97,78.37,-7.28,97,99,10.25
Bantry,2966356,IE,51.68,-9.45,48.2,81,75,10.29
Caborca,3996893,MX,30.58,-111.1,63.0,42,0,1.01
Ylivieska,630769,FI,64.08,24.67,28.0,92,100,5.99
Katsuura,2112309,JP,35.13,140.3,53.6,71,75,5.82
Husavik,2629833,IS,66.04,-17.34,26.6,92,90,3.36
Rome,5134295,US,43.21,-75.46,28.99,68,40,10.29
